->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
+( 'A', ->( 'C', 'B' ), 'H', 'D', X( ->( 'E', 'F' ), 'G' ) ):0.9644431562420167
->( 'A', 'C', 'B', 'D', X( +( 'E', 'F' ), 'G' ), 'H' ):0.8675873829627887
->( 'A', 'C', 'B', 'D', X( +( 'E', 'F' ), 'G' ), 'H' ):0.8675873829627887
->( 'A', +( 'C', 'B' ), 'D', 'G', X( 'E', 'F' ), 'H' ):0.9651025608906795
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.9644431562420167
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.9651025608906795
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.8047979111601723
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.8047979111601723
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.877961357629279
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.8047979111601723
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.9644431562420167
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.9651025608906795
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.9644431562420167
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.9644431562420167
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.9657574933922068
->( 'A', 'C', 'B', 'D', X( +( 'E', 'F' ), 'G' ), 'H' ):0.8675873829627887
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.9644431562420167
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.9644431562420167
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.877961357629279
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.877961357629279
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.8047979111601723
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.8047979111601723
->( 'A', 'C', 'B', 'D', X( +( 'E', 'F' ), 'G' ), 'H' ):0.8675873829627887
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.9651025608906795
