+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.23202963596210013
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.16666666666666663
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.19999999999999996
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
->( 'A', 'C', 'B', 'D', X( +( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
->( 'A', +( 'C', 'B' ), 'D', 'G', X( 'E', 'F' ), 'H' ):0.75
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):1.0
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.16666666666666663
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.75
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.19999999999999996
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
->( 'A', +( 'C', 'B' ), 'D', 'G', X( 'E', 'F' ), 'H' ):0.75
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
+( 'A', ->( 'C', 'B' ), 'H', 'D', X( ->( 'E', 'F' ), 'G' ) ):0.2206202553992821
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.16666666666666663
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):1.0
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.19999999999999996
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.75
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
+( 'A', ->( 'C', 'B' ), 'H', 'D', X( ->( 'E', 'F' ), 'G' ) ):0.2206202553992821
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):1.0
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.9280626780626781
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.16666666666666663
->( 'A', +( 'C', 'B' ), 'D', 'G', X( 'E', 'F' ), 'H' ):0.75
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.16666666666666663
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.23202963596210013
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.16666666666666663
->( 'A', +( 'C', 'B' ), 'D', 'G', X( 'E', 'F' ), 'H' ):0.75
+( 'A', X( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.3516869095816464
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.19999999999999996
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.23202963596210013
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.16666666666666663
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.19999999999999996
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.19999999999999996
+( 'A', ->( 'C', 'B' ), 'H', 'D', X( ->( 'E', 'F' ), 'G' ) ):0.2206202553992821
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.16666666666666663
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.7996801279488205
