X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.7333333333333333
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.8947368421052632
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.7333333333333333
+( 'A', ->( 'C', 'B' ), 'H', 'D', X( ->( 'E', 'F' ), 'G' ) ):0.7499999999999999
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', 'C', 'B', 'D', X( +( 'E', 'F' ), 'G' ), 'H' ):0.9130434782608695
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.8947368421052632
+( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', X( 'E', 'F' ) ) ):0.7499999999999999
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.8947368421052632
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.7333333333333333
+( 'A', ->( 'C', 'B' ), 'H', 'D', X( ->( 'E', 'F' ), 'G' ) ):0.7499999999999999
->( 'A', +( 'C', 'B' ), 'D', 'G', X( 'E', 'F' ), 'H' ):0.8947368421052632
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
X( 'A', ->( 'C', 'B' ), 'H', 'D', +( ->( 'E', 'F' ), 'G' ) ):0.7333333333333333
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.7142857142857143
->( 'A', X( 'C', 'B' ), 'D', +( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', 'C', 'B', 'D', +( X( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
X( 'A', ->( 'C', 'B' ), 'H', 'D', ->( 'G', +( 'E', 'F' ) ) ):0.7142857142857143
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.8947368421052632
X( 'A', +( 'C', 'B' ), 'H', 'D', ->( 'G', 'E', 'F' ) ):0.7333333333333333
->( 'A', +( 'C', 'B' ), 'D', X( ->( 'E', 'F' ), 'G' ), 'H' ):0.8947368421052632
->( 'A', X( 'C', 'B' ), 'D', 'G', +( 'E', 'F' ), 'H' ):0.8947368421052632
