TraceID;ActivityName;TimeStamp
923;A;28.04.2022 08:34
923;B;28.04.2022 09:56
923;D;28.04.2022 10:47
923;E;28.04.2022 11:33
923;F;28.04.2022 12:21
923;G;28.04.2022 13:35
923;H;28.04.2022 14:07
924;A;28.04.2022 15:22
924;B;28.04.2022 16:01
924;D;28.04.2022 17:05
924;G;28.04.2022 18:27
924;E;28.04.2022 19:46
924;F;28.04.2022 20:37
924;H;28.04.2022 21:36
925;A;28.04.2022 22:23
925;B;28.04.2022 23:01
925;D;29.04.2022 00:13
925;G;29.04.2022 01:09
925;E;29.04.2022 02:13
925;F;29.04.2022 03:12
925;H;29.04.2022 04:04
926;A;29.04.2022 05:48
926;C;29.04.2022 06:22
926;D;29.04.2022 07:59
926;G;29.04.2022 08:26
926;E;29.04.2022 09:24
926;F;29.04.2022 10:43
926;H;29.04.2022 11:18
927;A;29.04.2022 12:36
927;C;29.04.2022 13:01
927;D;29.04.2022 14:15
927;G;29.04.2022 15:01
927;E;29.04.2022 16:15
927;F;29.04.2022 17:26
927;H;29.04.2022 18:56
928;A;29.04.2022 19:55
928;C;29.04.2022 20:35
928;D;29.04.2022 21:58
928;G;29.04.2022 22:07
928;E;29.04.2022 23:23
928;F;30.04.2022 00:27
928;H;30.04.2022 01:23
929;A;30.04.2022 02:40
929;C;30.04.2022 03:32
929;D;30.04.2022 04:43
929;G;30.04.2022 05:22
929;E;30.04.2022 06:20
929;F;30.04.2022 07:00
929;H;30.04.2022 08:36
930;A;30.04.2022 09:44
930;C;30.04.2022 10:20
930;D;30.04.2022 11:13
930;E;30.04.2022 12:33
930;G;30.04.2022 13:42
930;F;30.04.2022 14:00
930;H;30.04.2022 15:12
931;A;30.04.2022 16:04
931;B;30.04.2022 17:28
931;D;30.04.2022 18:03
931;E;30.04.2022 19:41
931;G;30.04.2022 20:24
931;F;30.04.2022 21:10
931;H;30.04.2022 22:40
932;A;30.04.2022 23:03
932;C;01.05.2022 00:52
932;D;01.05.2022 01:26
932;G;01.05.2022 02:37
932;E;01.05.2022 03:06
932;F;01.05.2022 04:49
932;H;01.05.2022 05:51
933;A;01.05.2022 06:42
933;C;01.05.2022 07:30
933;D;01.05.2022 08:51
933;E;01.05.2022 09:41
933;G;01.05.2022 10:12
933;F;01.05.2022 11:04
933;H;01.05.2022 12:33
934;A;01.05.2022 13:25
934;B;01.05.2022 14:09
934;D;01.05.2022 15:21
934;E;01.05.2022 16:06
934;G;01.05.2022 17:55
934;F;01.05.2022 18:44
934;H;01.05.2022 19:12
935;A;01.05.2022 20:32
935;C;01.05.2022 21:31
935;D;01.05.2022 22:13
935;E;01.05.2022 23:18
935;F;02.05.2022 00:20
935;G;02.05.2022 01:01
935;H;02.05.2022 02:04
936;A;02.05.2022 03:03
